icon;name;type;date;overnight;from_start;to_next_hut;hiked;not_hiked;total;to_next_food;to_next_sauna;crossed_km;lat;lon;shop_size;buy_here;recharge;wifi;laundry;card;notes;source;url
🏠;Hemavan;hut;;;0,0;10,4;;;;;;;65,81763;15,09099;village;start: 1D tonight + 2 spare D (trip buffer);yes;yes;yes;yes;shop · restaurant+breakfast · sauna · wifi · resupply · ☎ +46 954 300 27;STF-page;https://www.swedishtouristassociation.com/facilities/stf-hemavan-mountain-station/
🛒;Shop Hemavan;shop;;;0,0;;;;;0,0;;;65,81763;15,09099;;;;;;;;STF-page;
🍽️;Restaurant Hemavan;restaurant;;;0,0;;;;;10,4;;;65,81763;15,09099;;;;;;;breakfast / full board;STF-page;https://www.swedishtouristassociation.com/facilities/stf-hemavan-mountain-station/
♨️;Sauna Hemavan;sauna;;;0,0;;;;;;36,5;;65,81763;15,09099;;;;;;;;STF-page;
🌙;Camp Day 1;camp;2026-08-02;x;7,0;;7,0;0,0;7,0;;;;65,86481;15,10760;;;;;;;arrival day · ease-in;ESTIMATE;
🌙;──────────  2026-08-02  ──────────;divider;;;;;;;;;;;;;;;;;;;;;
🏠;STF Viterskalet;hut;;;10,4;12,4;;;;;;;65,88531;15,15853;large;1B 1L 1D (Day 2);;;;yes;large shop · self-catering · open 18 Jun–20 Sep;STF-page;https://www.swedishtouristassociation.com/facilities/stf-viterskalet-mountain-cabin/
🛒;Shop Viterskalet;shop;;;10,4;;;;;26,2;;;65,88531;15,15853;;;;;;;large selection (STF shops guide);STF shops guide;https://www.swedishtouristassociation.com/guides/mountains/shops/
📍;Norra Sytertoppen;landmark;;;14,4;;;;;;;;65,89262;15,25583;;;;;;;1768 m peak per STA · marker at wind shelter;STA;
🏠;STF Syter;hut;;;22,8;13,8;;;;;;;65,89275;15,39669;none;;;;;yes;NO shop · self-catering;STF-page;https://www.swedishtouristassociation.com/facilities/stf-syter-mountain-cabin/
🌙;Camp Day 2;camp;2026-08-03;x;25,0;;18,0;0,0;18,0;;;;65,90058;15,43843;;;;;;;ease-in;ESTIMATE;
🌙;──────────  2026-08-03  ──────────;divider;;;;;;;;;;;;;;;;;;;;;
♨️;Sauna Tärnasjö;sauna;;;36,5;;;;;;32,7;;65,98843;15,49465;;;;;;;by the lake;STF-page;
🏠;STF Tärnasjö;hut;;;36,6;13,5;;;;;;;65,98881;15,49730;large;1L 1D (Day 3);;;;yes;large shop · sauna by lake · lake swim/fish;STF-page+STA;https://www.swedishtouristassociation.com/facilities/stf-tarnasjo-mountain-cabin/
🛒;Shop Tärnasjö;shop;;;36,6;;;;;32,6;;;65,98881;15,49730;;;;;;;large selection (STF shops guide);STF shops guide;https://www.swedishtouristassociation.com/guides/mountains/shops/
🌙;Camp Day 3;camp;2026-08-04;x;46,0;;21,0;0,0;21,0;;;;65,97494;15,67908;;;;;;;ease-in · Tärnasjö (7 bridges);ESTIMATE;
🌙;──────────  2026-08-04  ──────────;divider;;;;;;;;;;;;;;;;;;;;;
🏠;STF Serve;hut;;;50,1;19,1;;;;;;;65,97234;15,76422;none;;;;;yes;NO shop · self-catering;STF-page;https://www.swedishtouristassociation.com/facilities/stf-serve-mountain-cabin/
